date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot
2020-04-28,Doha,Al Thumama,Residence,368,504.904
2020-04-28,Doha,Fereej Al Aseeri,Residence,1274,291.687
2020-04-28,Doha,Al Thumama,Residence,366,507.663
2020-04-28,Doha,Al Thumama,Residence,367,506.279
2020-04-28,Doha,Al Thumama,Residence,370,502.174
2020-04-28,Doha,Onaiza,Residence,1225,352.649
2020-04-28,Doha,Fereej Al Aseeri,Residence,1272,292.145
2020-04-28,Doha,Nuaija,Vacant Land,500,371.609
2020-04-27,Doha,Al Thumama,Residence,625,743.218
2020-04-23,Doha,Onaiza,Residence,875,403.461
2020-04-22,Doha,Al Hilal,Residence,433,501.672240802676
2020-04-21,Doha,New Slata,Residence,1,315.005
2020-04-21,Doha,Hazm Al Markhiya,Residence,886,471.851
2020-04-21,Doha,Msheireb,Residential Building,602,1000.011
2020-04-20,Doha,Old Airport,Vacant Land,343,542.495
2020-04-20,Doha,Old Airport,Vacant Land,352,555.035
2020-04-20,Doha,Old Airport,Vacant Land,343,542.495
2020-04-20,Doha,Old Airport,Vacant Land,352,568.25
2020-04-20,Doha,Old Airport,Vacant Land,352,568.25
2020-04-20,Doha,Old Airport,Vacant Land,435,534.535
2020-04-20,Doha,Old Airport,Residence,456,450.011
2020-04-20,Doha,Old Airport,Vacant Land,460,450.011
2020-04-20,Doha,Old Airport,Vacant Land,593,450.011
2020-04-20,Doha,Old Airport,Vacant Land,708,590.898
2020-04-20,Doha,Old Airport,Vacant Land,352,555.035
2020-04-20,Doha,Old Airport,Vacant Land,377,554.456
2020-04-19,Doha,Hazm Al Markhiya,Residence,880,591.196
2020-04-19,Doha,Madinat Khalifa North,Residence,595,423.915
2020-04-16,Doha,Nuaija,Residence,905,513.272
2020-04-16,Doha,Al Thumama,Residence,2235,893.691
2020-04-16,Doha,Old Airport,Vacant Land,2561,550.013
2020-04-16,Doha,Al Thumama,Residence,1865,896.644
2020-04-16,Doha,Hazm Al Markhiya,Vacant Land,3240,444.44
2020-04-14,Doha,Fareej Abdulaziz,Residential Building,410,2605.795
2020-04-14,Doha,Nuaija,Residence,896,357.715
2020-04-12,Doha,Al Thumama,Vacant Land,990,231.036
2020-04-12,Doha,Old Al Ghanim,Residential Building,301,579.068
2020-04-12,Doha,Al Messila,Residence,882,473.991
2020-04-12,Doha,New Slata,Residence,1,387.093
2020-04-09,Doha,Al Thumama,Residence,488,523.527
2020-04-09,Doha,Nuaija,Residence,553,436.792
2020-04-09,Doha,Al Thumama,Residence,813,399.948
2020-04-08,Doha,Umm Ghuwailina,Residential Building,389,1194.117
2020-04-08,Doha,Duhail,Residence,945,567.234
2020-04-07,Doha,Madinat Khalifa North,Multi-purpose Building,744,1685.727
2020-04-05,Doha,Hazm Al Markhiya,Vacant Land,2,401.227
2020-04-05,Doha,Old Airport,Residential Building,459,829.846
2020-04-02,Doha,Al Thumama,Residence,450,516.124
2020-04-02,Doha,Hazm Al Markhiya,Vacant Land,3,444.44
2020-04-01,Doha,Madinat Khalifa North,Residence,746,348.695
2020-04-01,Doha,Najma,Residential Building,2,924.784
2020-04-01,Doha,Old Airport,Residential Building,1,1867.79
2020-03-29,Doha,Al Mirqab,Multi-purpose Building,1,10683.761
2020-03-26,Doha,Madinat Khalifa North,Residence,748,329.132
2020-03-25,Doha,Hazm Al Markhiya,Vacant Land,3,444.44
2020-03-25,Doha,The Pearl,Residence,1,1785.326
2020-03-25,Doha,Old Airport,Vacant Land,420,331.794
2020-03-24,Doha,Al Thumama,Residence,426,523.393
2020-03-23,Doha,Dahl Al Hamam,Vacant Land,1,314.39
2020-03-22,Doha,Umm Ghuwailina,Residential Building,411,2167.972
2020-03-22,Doha,Old Airport,Residential Building,1,2500.037
2020-03-22,Doha,Madinat Khalifa South,Residence,588,617.235
2020-03-19,Doha,Old Al Ghanim,Residential Building,238,1800.0
2020-03-19,Doha,Old Airport,Apartment Complex,7,766.31
2020-03-19,Doha,Old Al Ghanim,Residential Building,107,900.0
2020-03-18,Doha,Al Hilal,Multi-purpose Building,2,1127.064
2020-03-17,Doha,Old Airport,Residence,630,617.235
2020-03-17,Doha,Nuaija,Vacant Land,668,334.838
2020-03-17,Doha,Nuaija,Vacant Land,669,334.4
2020-03-17,Doha,The Pearl,Residence,1,1247.848
2020-03-17,Doha,Al Thumama,Residence,478,583.069
2020-03-17,Doha,Al Mirqab,Residential Building,422,1167.082
2020-03-17,Doha,Onaiza,Residence,875,509.635
2020-03-17,Doha,Nuaija,Residence,906,307.623
2020-03-17,Doha,Nuaija,Vacant Land,930,340.777
2020-03-15,Doha,Al Sadd,Residential Building,339,1096.192
2020-03-15,Doha,Old Al Ghanim,Residence,276,1514.711
2020-03-15,Doha,Najma,Residential Building,304,519.519
2020-03-15,Doha,Al Thumama,Residence,416,500.012
2020-03-15,Doha,Najma,Residential Building,208,625.304
2020-03-12,Doha,Old Airport,Vacant Land,646,287.623
2020-03-12,Doha,Umm Ghuwailina,Residential Building,167,445.041
2020-03-12,Doha,Nuaija,Residence,904,450.965
2020-03-12,Doha,Old Airport,Vacant Land,292,254.527
2020-03-11,Doha,Fereej Bin Omran,Residence,1,467.486
2020-03-11,Doha,Al Thumama,Vacant Land,562,330.613
2020-03-11,Doha,Al Markhiya,Residence,880,475.068
2020-03-11,Doha,Legtaifiya,Residence,1,553.622
2020-03-11,Doha,Fereej Al Aseeri,Residence,474,391.993
2020-03-10,Doha,Al Thumama,Vacant Land,451,410.0
2020-03-10,Doha,Old Al Ghanim,Residence,301,555.562
2020-03-10,Doha,Fereej Al Aseeri,Residence,491,662.236
2020-03-10,Doha,Legtaifiya,Residence,1,477.783
2020-03-09,Doha,Hazm Al Markhiya,Residential Building,6,374.192
2020-03-08,Doha,Al Thumama,Residence,478,544.197
2020-03-08,Doha,Al Thumama,Residence,450,825.798
2020-03-08,Doha,Onaiza,Residence,1,502.066
2020-03-08,Doha,Onaiza,Residence,875,435.313
2020-03-05,Doha,Al Thumama,Vacant Land,478,272.099
2020-03-05,Doha,New Slata,Residential Building,2123,437.599
2020-03-05,Doha,Fereej Bin Derhem,Residential Building,501,1112.602
2020-03-05,Doha,Madinat Khalifa South,Residential Building,431,1433.411
2020-03-05,Doha,Al Kharayej,Vacant Land,5,425.715
2020-03-04,Doha,Umm Lekhba,Residence,996,567.234
2020-03-04,Doha,Al Doha Al Jadeedah,Residential Building,464,1701.873
2020-03-04,Doha,Onaiza,Residence,1225,530.87
2020-03-04,Doha,Al Sadd,Residential Building,760,2732.06
2020-03-04,Doha,Lusail,Residential Building,5656,700.124
2020-03-03,Doha,Umm Lekhba,Residence,3064,397.064
2020-03-02,Doha,Umm Lekhba,Residence,468,397.064
2020-03-02,Doha,Al Jebailat,Residence,450,578.059
2020-03-01,Doha,Old Airport,Residence,807,432.065
2020-03-01,Doha,Najma,Residential Building,208,535.975
2020-03-01,Doha,The Pearl,Residence,1,620.321
2020-03-01,Doha,Nuaija,Residence,523,617.235
2020-03-01,Doha,Umm Lekhba,Residence,485,413.993
2020-02-27,Doha,Old Airport,Residence,740,502.174
2020-02-27,Doha,New Slata,Residence,559,561.735
2020-02-27,Doha,Al Thumama,Residence,452,567.234
2020-02-26,Doha,Old Airport,Residential Building,461,2015.234
2020-02-26,Doha,Old Airport,Residential Building,4,810.074
2020-02-26,Doha,Al Jebailat,Residence,1,530.87
2020-02-26,Doha,Old Airport,Residential Building,2,831.861
2020-02-25,Doha,Najma,Residence,98,663.588
2020-02-25,Doha,Old Airport,Vacant Land,366,355.364
2020-02-25,Doha,Old Airport,Vacant Land,366,380.747
2020-02-25,Doha,Old Airport,Vacant Land,375,322.061
2020-02-25,Doha,Old Airport,Vacant Land,375,346.835
2020-02-25,Doha,Old Airport,Vacant Land,381,316.989
2020-02-25,Doha,Old Airport,Vacant Land,426,327.505
2020-02-25,Doha,Al Maamoura,Residence,713,390.893
2020-02-25,Doha,Najma,Residence,109,681.851
2020-02-25,Doha,Old Airport,Vacant Land,414,325.776
2020-02-25,Doha,Old Airport,Vacant Land,418,322.269
2020-02-25,Doha,Old Airport,Vacant Land,373,323.788
2020-02-24,Doha,Al Sadd,Residential Building,194,1628.184
2020-02-24,Doha,Al Thumama,Vacant Land,467,339.979
2020-02-24,Doha,Al Thumama,Vacant Land,1,315.779
2020-02-24,Doha,Al Sadd,Residential Building,958,3297.158
2020-02-23,Doha,Madinat Khalifa South,Multi-purpose Building,586,1823.167
2020-02-23,Doha,Najma,Residence,148,690.49
2020-01-09,Doha,Al Thumama,Vacant Land,491,321.658
2025-03-06,Al Rayyan,New Al Rayyan,Residence,440,259.0
2025-03-06,Al Rayyan,Al Waab,Vacant Land,1837,900.0
2025-03-05,Al Rayyan,Muaither 53,Commercial Residential Building and  Shops,279,1798.0
2025-03-05,Al Rayyan,Al Aziziya,Vacant Land,1306,198.0
2025-03-05,Al Rayyan,Ain Khalid,Vacant Land,828,247.0
2025-03-05,Al Rayyan,Muraikh  South,Residence,2900,384.0
2025-03-05,Al Rayyan,Al Maamoura 56,Vacant Land,450,382.0
2025-03-04,Al Rayyan,New Al Rayyan,Vacant Land,752,272.0
2025-03-04,Al Rayyan,Al Aziziya,Residence,383,546.0
2025-03-04,Al Rayyan,Al Gharrafa,Vacant Land,850,284.0
2025-03-04,Al Rayyan,Al Gharrafa,Residence,595,344.0
2025-03-03,Al Rayyan,Bu Hamour,Residence,450,467.0
2025-03-03,Al Rayyan,Muraikh,Vacant Land,696,175.0
2025-03-03,Al Rayyan,Al Mearad,Residence,900,289.0
2025-03-03,Al Rayyan,Al Gharrafa,Vacant Land,660,200.0
2025-03-02,Al Rayyan,Muaither 55,Vacant Land,1020,328.0
2025-02-27,Al Rayyan,Ain Khalid,Vacant Land,596,390.0
2025-02-27,Al Rayyan,Luaib,Residence,942,252.0
2025-02-27,Al Rayyan,Muaither 55,Residence,780,292.0
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,450,360.0
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,420,360.0
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,470,360.0
2025-02-27,Al Rayyan,Muraikh,Residence,369,395.0
2025-02-27,Al Rayyan,Muraikh,Vacant Land,5370,277.0
2025-02-26,Al Rayyan,Gharrafat Al Rayyan,Residence,371,751.0
2025-02-26,Al Rayyan,Old Al Rayyan,Residence,523,202.0
2025-02-25,Al Rayyan,Bu Hamour,Residence,720,513.0
2025-02-25,Al Rayyan,Al Mearad,Residence,868,274.0
2025-02-25,Al Rayyan,Bu Hamour,Vacant Land,1062,315.0
2025-02-24,Al Rayyan,Bu Hamour,Residence,1225,379.0
2025-02-24,Al Rayyan,Izghawa 51,Residence,597,373.0
2025-02-24,Al Rayyan,Mebaireek,Residence,1165,215.0
2025-02-24,Al Rayyan,Muaither 53,Residence,744,344.0
2025-02-23,Al Rayyan,Al Gharrafa,Residence,343,310.0
2025-02-23,Al Rayyan,New Al Rayyan,Residence,823,339.0
2025-02-23,Al Rayyan,Muaither 53,Residence,164,397.0
2025-02-23,Al Rayyan,Al Gharrafa,Residence,404,310.0
2025-02-23,Al Rayyan,Muaither 55,Residence,1020,410.0
2025-02-23,Al Rayyan,Al Mearad,Residence,900,173.0
2025-02-23,Al Rayyan,New Al Rayyan,Residence,738,308.0
2025-02-20,Al Rayyan,Luaib,Residence,942,321.0
2025-02-20,Al Rayyan,Luaib,Residence,599,295.0
2025-02-20,Al Rayyan,Muaither 53,Residence,683,422.0
2025-02-20,Al Rayyan,Gharrafat Al Rayyan,Residence,668,688.0
2025-02-20,Al Rayyan,New Al Rayyan,Vacant Land,845,275.0
2025-02-19,Al Rayyan,Ain Khalid,Residence,1431,260.0
2025-02-19,Al Rayyan,Muaither 55,Residence,600,503.0
2025-02-18,Al Rayyan,Muaither 55,Residence,612,486.0
2025-02-17,Al Rayyan,Al Aziziya,Vacant Land,770,350.0
2025-02-17,Al Rayyan,Rawdat Egdaim,Vacant Land,1168,336.0
2025-02-17,Al Rayyan,Muaither 55,Vacant Land,7614,183.0
2025-02-17,Al Rayyan,Bu Sidra,Residence,897,238.0
2025-02-17,Al Rayyan,Muraikh,Residence,600,867.0
2025-02-16,Al Rayyan,Izghawa 51,Vacant Land,699,370.0
2025-02-16,Al Rayyan,New Al Rayyan,Residence,453,636.0
2025-02-16,Al Rayyan,Muaither 53,Vacant Land,710,327.0
2025-02-16,Al Rayyan,Ain Khalid,Residence,7763,190.0
2025-02-16,Al Rayyan,Izghawa 51,Vacant Land,807,370.0
2025-02-13,Al Rayyan,Muaither 53,Residence,598,637.0
2025-02-13,Al Rayyan,New Al Rayyan,Residence,1152,419.0
2025-02-13,Al Rayyan,Lebday,Residence,753,228.0
2025-02-13,Al Rayyan,Al Aziziya,Residence,462,446.0
2025-02-12,Al Rayyan,Bu Hamour,Residence,450,434.0
2025-02-12,Al Rayyan,Gharrafat Al Rayyan,Residence,372,624.0
2025-02-10,Al Rayyan,New Al Rayyan,Residence,907,236.0
2025-02-10,Al Rayyan,Muaither 53,Residence,628,503.0
2025-02-10,Al Rayyan,Gharrafat Al Rayyan,Residence,662,617.0
2025-02-10,Al Rayyan,Muaither 53,Residence,276,337.0
2025-02-10,Al Rayyan,Muaither 53,Vacant Land,1152,260.0
2025-02-09,Al Rayyan,Al Aziziya,Residence,350,345.0
2025-02-09,Al Rayyan,Al Aziziya,Residence,742,250.0
2025-02-09,Al Rayyan,Al Aziziya,Residence,456,336.0
2025-02-09,Al Rayyan,Izghawa 51,Vacant Land,596,300.0
2025-02-09,Al Rayyan,Izghawa 51,Vacant Land,597,299.0
2025-02-09,Al Rayyan,Bani Hajer,Vacant Land,852,300.0
2025-02-09,Al Rayyan,Ain Khalid,Residence,1362,341.0
2025-02-09,Al Rayyan,New Al Rayyan,Residence,748,242.0
2025-02-09,Al Rayyan,Umm Al Senaim,Residence,1200,271.0
2025-02-06,Al Rayyan,Muaither 53,Residence,573,397.0
2025-02-06,Al Rayyan,Al Aziziya,Residence,1821,1071.0
2025-02-06,Al Rayyan,Muaither 55,Vacant Land,698,386.0
2025-02-05,Al Rayyan,Bu Hamour,Residence,450,495.0
2025-02-05,Al Rayyan,Muaither 53,Vacant Land,500,303.0
2025-02-04,Al Rayyan,Ain Khalid,Residence,701,689.0
2025-02-04,Al Rayyan,Gharrafat Al Rayyan,Residence,500,404.0
2025-02-04,Al Rayyan,Fereej Al Murrah,Residence,776,467.0
2025-02-04,Al Rayyan,Al Aziziya,Residence,1821,944.0
2025-02-03,Al Rayyan,Muaither 53,Residence,410,385.0
2025-02-03,Al Rayyan,Mesaimeer,Residential Building and  Shops,1200,1951.0
2025-02-03,Al Rayyan,Muaither 55,Vacant Land,693,255.0
2025-02-03,Al Rayyan,Mebaireek,Residence,1164,200.0
2025-02-03,Al Rayyan,Muraikh,Residence,550,794.0
2025-02-03,Al Rayyan,Muaither 55,Residence,758,552.0
2025-02-02,Al Rayyan,Bu Hamour,Vacant Land,2188,270.0
2025-02-02,Al Rayyan,Ain Khalid,Vacant Land,569,318.0
2025-02-02,Al Rayyan,Fereej Al Soudan 54,Residence,540,396.0
2025-02-02,Al Rayyan,Bu Hamour,Vacant Land,2100,281.0
2025-01-30,Al Rayyan,Muraikh,Residence,550,794.0
2025-01-30,Al Rayyan,Muaither 53,Residence,753,419.0
2025-01-30,Al Rayyan,Lebday,Residence,614,227.0
2025-01-30,Al Rayyan,Ain Khalid,Vacant Land,605,392.0
2025-01-30,Al Rayyan,Muraikh,Residence,550,456.0
2025-01-29,Al Rayyan,Mebaireek,Residence,1164,160.0
2025-01-29,Al Rayyan,Muraikh,Residence,928,375.0
2025-01-29,Al Rayyan,Baaya,Residential commercial building,1360,2596.0
2025-01-29,Al Rayyan,Al Aziziya,Residence,483,433.0
2025-01-29,Al Rayyan,New Al Rayyan,Residence,1099,287.0
2025-01-29,Al Rayyan,Al Thumaid,Vacant Land,910,398.0
2025-01-28,Al Rayyan,Al Aziziya,Vacant Land,420,354.0
2025-01-28,Al Rayyan,Al Gharrafa,Residence,650,372.0
2025-01-28,Al Rayyan,Al Aziziya,Vacant Land,468,352.0
2025-01-28,Al Rayyan,Ain Khalid,Vacant Land,569,321.0
2025-01-28,Al Rayyan,Bu Sidra,Vacant Land,481,478.0
2025-01-28,Al Rayyan,New Al Rayyan,Residence,1099,258.0
2025-01-27,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,438,551.0
2025-01-27,Al Rayyan,Muraikh,Vacant Land,4282,179.0
2025-01-27,Al Rayyan,Muaither 55,Residence,366,543.0
2025-01-27,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,625,335.0
2025-01-26,Al Rayyan,Gharrafat Al Rayyan,Residence,530,438.0
2025-01-23,Al Rayyan,Muaither,Residence,217,364.0
2025-01-23,Al Rayyan,Al Aziziya,Residence,456,285.0
2025-01-23,Al Rayyan,Al Aziziya,Residence,350,372.0
2025-01-23,Al Rayyan,Luaib,Vacant Land,990,350.0
2025-01-22,Al Rayyan,Bu Sidra,Residence,607,390.0
2025-01-22,Al Rayyan,Al Luqta,Residence,893,323.0
2025-01-22,Al Rayyan,Bu Hamour,Residence,450,454.0
2025-01-22,Al Rayyan,Bu Hamour,Vacant Land,1225,340.0
2025-01-21,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,438,233.0
2025-01-21,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,600,302.0
2025-01-21,Al Rayyan,New Al Rayyan,Residence,1117,262.0
2025-01-21,Al Rayyan,Bu Hamour,Residence,1010,377.0
2025-01-20,Al Rayyan,Al Gharrafa,Residence,850,251.0
2025-01-20,Al Rayyan,Al Gharrafa,Residence,609,366.0
2025-01-20,Al Rayyan,Muaither 55,Residence,665,391.0
2025-01-20,Al Rayyan,Al Sheehaniya,Vacant Land,1081,241.0
2025-01-20,Al Rayyan,Muaither 53,Vacant Land,500,297.0
2025-01-19,Al Rayyan,Lebday,Residence,716,285.0
2025-01-19,Al Rayyan,Al Aziziya,Vacant Land,805,340.0
2025-01-19,Al Rayyan,Muaither 53,Building and Shops,749,1453.0
2025-01-19,Al Rayyan,Muaither 53,Residence,129,346.0
2025-01-19,Al Rayyan,Muaither 55,Residence,747,517.0
2025-01-19,Al Rayyan,Ain Khalid,Residence,1137,400.0
2025-01-19,Al Rayyan,Ain Khalid,Vacant Land,1200,400.0
2025-01-19,Al Rayyan,Al Waab,Residence,1176,687.0
2025-01-16,Al Rayyan,Mebaireek,Vacant Land,759,190.0
2025-01-16,Al Rayyan,Muaither 53,Residence,668,257.0
2025-01-16,Al Rayyan,Muraikh,Vacant Land,600,350.0
2025-01-16,Al Rayyan,Muraikh  South,Residence,1200,465.0
2025-01-16,Al Rayyan,Muraikh,Vacant Land,21602,350.0
2025-01-16,Al Rayyan,Al Aziziya,Vacant Land,659,340.0
2025-01-16,Al Rayyan,Gharrafat Al Rayyan,Residence,600,666.0
2025-01-15,Al Rayyan,Gharrafat Al Rayyan,Residence,438,615.0
2025-01-15,Al Rayyan,Bu Sidra,Residence,881,234.0
2025-01-15,Al Rayyan,Bu Hamour,Residence,400,534.0
2025-01-14,Al Rayyan,Al Aziziya,Residence,283,369.0
2025-01-13,Al Rayyan,Izghawa 51,Vacant Land,560,330.0
2025-01-13,Al Rayyan,Al Maamoura 56,Residence,484,432.0
2025-01-13,Al Rayyan,Al Maamoura 56,Residence,438,488.0
2025-01-13,Al Rayyan,Al Maamoura 56,Residence,509,411.0
2025-01-13,Al Rayyan,Al Waab,Vacant Land,1837,930.0
2025-01-12,Al Rayyan,Bu Hamour,Residence,1010,294.0
2025-01-12,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,592,314.0
2025-01-12,Al Rayyan,Al Gharrafa,Vacant Land,6811,205.0
2025-01-09,Al Rayyan,New Al Rayyan,Residence,966,240.0
2025-01-08,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,826,276.0
2025-01-08,Al Rayyan,Muaither 55,Residence,669,521.0
2025-01-07,Al Rayyan,Izghawa 51,Vacant Land,560,380.0
2025-01-07,Al Rayyan,Izghawa 51,Vacant Land,560,380.0
2025-01-07,Al Rayyan,Muaither 53,Residence,381,293.0
2025-01-06,Al Rayyan,Muaither 55,Vacant Land,636,205.0
2025-01-06,Al Rayyan,Al Thumaid,Vacant Land,999,310.0
2025-01-06,Al Rayyan,Ain Khalid,Residence,5340,313.0
2025-01-06,Al Rayyan,Bu Hamour,Residence,450,495.0
2025-01-05,Al Rayyan,Muaither 55,Residence,440,475.0
2025-01-05,Al Rayyan,Muaither 53,Building and Shops,749,1612.0
2024-12-31,Al Rayyan,Ain Khalid,Residence,602,494.0
2024-12-31,Al Rayyan,Bu Sidra,Residence,480,510.0
2024-12-30,Al Rayyan,Muaither   55,Residence,536,607.0
2024-12-30,Al Rayyan,Al Gharrafa,Residence,4855,265.0
2024-12-30,Al Rayyan,Muraikh,Residence,1410,323.0
2024-12-29,Al Rayyan,New Al Rayyan,Residence,744,537.0
2024-12-26,Al Rayyan,Baaya,Residential commercial building,1520,2359.0
2024-12-26,Al Rayyan,Al Sheehaniya,Vacant Land,584,128.0
2024-12-26,Al Rayyan,Al Mearad,Residence,900,206.0
2024-12-25,Al Rayyan,Al Waab,Residence,1265,477.0
2024-12-24,Al Rayyan,Al Gharrafa,Vacant Land,575,339.0
2024-12-24,Al Rayyan,Muaither  53,Residence,167,528.0
2024-12-24,Al Rayyan,Baaya,Vacant Land,9117,306.0
2024-12-24,Al Rayyan,Al Luqta,Residence,923,322.0
2024-12-24,Al Rayyan,Muaither  53,Vacant Land,506,337.0
2024-12-23,Al Rayyan,Al Mearad,Residence,900,206.0
2024-12-23,Al Rayyan,Rawdat Egdaim,Residential Unit,477,438.13
2024-12-22,Al Rayyan,Muaither  53,Residence,598,637.0
2024-12-22,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,649,351.0
2024-12-17,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,630,340.0
2024-12-17,Al Rayyan,Muaither  53,Residence,8847,234.0
2024-12-17,Al Rayyan,Muaither  53,Residence,8639,234.0
2024-12-17,Al Rayyan,Izghawa  51,Vacant Land,997,260.0
2024-12-17,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,591,295.0
2024-12-16,Al Rayyan,Bu Hamour,Residence,1140,465.0
2024-12-15,Al Rayyan,Mebaireek,Residence,1165,179.0
2024-12-15,Al Rayyan,Bu Hamour,Residence,1240,292.0
2024-12-15,Al Rayyan,Muaither  53,Residence,725,349.0
2024-12-15,Al Rayyan,Bani Hajer,Vacant Land,640,363.0
2024-12-12,Al Rayyan,Muaither  55,Residence,455,398.0
2024-12-12,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,630,340.0
2024-12-12,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,630,340.0
2024-12-11,Al Rayyan,Al Waab,Residence,1134,690.0
2024-12-11,Al Rayyan,New Al Rayyan,Residence,1116,312.0
2024-12-11,Al Rayyan,Bu Hamour,Residence,1240,262.0
2024-12-10,Al Rayyan,Gharrafat Al Rayyan,Residence,357,520.0
2024-12-10,Al Rayyan,Al Maamoura  56,Residence,480,503.0
2024-12-09,Al Rayyan,Fereej Al Soudan  54,Residence,1120,394.0
2024-12-09,Al Rayyan,New Al Rayyan,Vacant Land,905,259.0
2024-12-09,Al Rayyan,Muaither  55,Residence,440,380.0
2024-12-09,Al Rayyan,Al Waab,Vacant Land,2175,940.0
2024-12-09,Al Rayyan,New Al Rayyan,Vacant Land,905,267.0
2024-12-09,Al Rayyan,Old Al Rayyan,Residence,4700,356.0
2024-12-08,Al Rayyan,Muaither  53,Residence,217,514.0
2024-12-08,Al Rayyan,Al Gharrafa,Vacant Land,4449,184.0
2024-12-08,Al Rayyan,Al Luqta,Residence,671,637.0
2024-12-05,Al Rayyan,Izghawa  51,Residence,675,640.0
2024-12-05,Al Rayyan,Al Maamoura  56,Vacant Land,454,322.0
2024-12-05,Al Rayyan,Bu Hamour,Residence,644,418.0
2024-12-05,Al Rayyan,Muaither  53,Residence,531,308.0
2024-12-04,Al Rayyan,Muaither  53,Residence,208,447.0
2024-12-04,Al Rayyan,Al Maamoura  56,Residence,480,305.0
2024-12-04,Al Rayyan,Muaither  53,Residence,242,422.0
2024-12-03,Al Rayyan,Bu Sidra,Residence,897,280.0
2024-12-03,Al Rayyan,Al Waab,Residence,1775,573.0
2024-12-02,Al Rayyan,Muaither  55,Residence,714,312.0
2024-12-02,Al Rayyan,Gharrafat Al Rayyan,Residence,507,449.0
2024-12-01,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,614,333.0
2024-11-28,Al Rayyan,Al Waab,Residence,1321,844.0
2024-11-28,Al Rayyan,Al Waab,Vacant Land,1723,431.0
2024-11-28,Al Rayyan,Ain Khalid,Residence,414,494.0
2024-11-28,Al Rayyan,Al Waab,Residence,525,619.0
2024-11-28,Al Rayyan,Muaither  55,Residence,1043,294.0
2024-11-28,Al Rayyan,Al Waab,Vacant Land,1722,432.0
2024-11-27,Al Rayyan,Ain Khalid,Residence,900,299.0
2024-11-27,Al Rayyan,Muaither  53,Vacant Land,1067,274.0
2024-11-26,Al Rayyan,Izghawa  51,Vacant Land,930,284.0
2024-11-26,Al Rayyan,Gharrafat Al Rayyan,Residence,743,324.0
2024-11-26,Al Rayyan,Muaither  53,Residence,410,329.0
2024-11-25,Al Rayyan,Mebaireek,Residence,759,294.0
2024-11-25,Al Rayyan,Al Gharrafa,Vacant Land,1107,280.0
2024-11-25,Al Rayyan,Al Gharrafa,Vacant Land,1458,280.0
2024-11-25,Al Rayyan,Al Gharrafa,Vacant Land,1242,280.0
2024-11-25,Al Rayyan,Al Thumaid,Vacant Land,999,279.0
2024-11-24,Al Rayyan,Muaither  53,Commercial Residential Building and  Shops,279,1665.0
2024-11-24,Al Rayyan,Old Al Rayyan,Residence,950,440.0
2024-11-24,Al Rayyan,Fereej Al Soudan  54,Residence,672,399.0
2024-11-21,Al Rayyan,New Al Rayyan,Residence,999,266.0
2024-11-21,Al Rayyan,Rawdat Egdaim,Vacant Land,913,340.0
2024-11-21,Al Rayyan,Umm Al Senaim,Residence,1128,453.0
2024-11-21,Al Rayyan,zghawa 51,Residence,406,595.0
2024-11-21,Al Rayyan,Al Aziziya,Residence,487,459.0
2024-11-20,Al Rayyan,Ain Khalid,Residence,868,760.0
2024-11-20,Al Rayyan,Gharrafat Al Rayyan,Residence,357,488.0
2024-11-20,Al Rayyan,Al Gharrafa,Vacant Land,594,282.0
2024-11-20,Al Rayyan,zghawa 51,Vacant Land,840,290.0
2024-11-20,Al Rayyan,Ain Khalid,Residence,908,309.0
2024-11-19,Al Rayyan,New Al Rayyan,Residence,593,368.0
2024-11-19,Al Rayyan,zghawa 51,Vacant Land,560,380.0
2024-11-19,Al Rayyan,Al Mearad,Residence,915,228.0
2024-11-19,Al Rayyan,Muraikh,Vacant Land,4282,245.0
2024-11-18,Al Rayyan,Al Aziziya,Vacant Land,900,279.0
2024-11-18,Al Rayyan,Ain Khalid,Residence,600,503.0
2024-11-17,Al Rayyan,Muraikh,Residence,480,445.0
2024-11-17,Al Rayyan,Ain Khalid,Vacant Land,958,276.0
2024-11-17,Al Rayyan,Muaither 55,Vacant Land,8965,166.0
2024-11-14,Al Rayyan,New Al Rayyan,Residence,464,561.0
2024-11-14,Al Rayyan,Ain Khalid,Residence,510,519.0
2024-11-13,Al Rayyan,Bu Sidra,Residence,1018,361.0
2024-11-13,Al Rayyan,Muaither  53,Residence,602,267.0
2024-11-13,Al Rayyan,Umm Al Senaim,Vacant Land,1200,320.0
2024-11-13,Al Rayyan,Fereej Al Manaseer,Residence,900,251.0
